Station Name,Date,Evapo_Transpiration,Rain,Pan_Evaporation,Max_Temp,Min_Temp,Max_Humidity,Min_Humity,Ave_Wind_Speed,Solar_Radiation
LAVERTON RAAF,2009-03-10,4.1,0.0,,25.2,13.7,90,50,3.41,20.33
LAVERTON RAAF,2009-03-11,4.5,0.0,,28.0,14.4,96,43,3.54,19.18
LAVERTON RAAF,2009-03-12,3.7,1.2,,25.1,16.5,89,59,4.80,15.19
LAVERTON RAAF,2009-03-13,4.5,5.2,,28.0,13.9,96,48,3.01,22.59
LAVERTON RAAF,2009-03-14,2.8,2.6,,22.5,17.1,98,61,5.85,9.44
LAVERTON RAAF,2009-03-15,4.2,19.8,,19.3,10.7,83,40,6.67,17.18
LAVERTON RAAF,2009-03-16,4.1,1.2,,20.9,11.3,82,49,6.25,17.85
LAVERTON RAAF,2009-03-17,3.6,0.0,,19.4,13.0,87,50,5.42,17.16
LAVERTON RAAF,2009-03-18,4.2,0.0,,25.6,12.2,88,34,2.65,20.74
LAVERTON RAAF,2009-03-19,7.7,0.0,,33.3,13.6,88,17,5.36,23.48
LAVERTON RAAF,2009-03-20,,0.0,,23.1,16.1,90,56,3.28,
LAVERTON RAAF,2009-03-21,,0.0,,35.2,10.4,96,12,5.76,
LAVERTON RAAF,2009-03-22,,0.0,,23.4,18.7,80,28,6.07,
LAVERTON RAAF,2009-03-23,3.4,0.0,,19.0,14.2,84,54,4.14,19.31
LAVERTON RAAF,2009-03-24,2.8,0.0,,20.3,11.2,88,52,2.53,14.95
LAVERTON RAAF,2009-03-25,2.7,3.0,,23.5,15.3,95,63,2.41,14.33
LAVERTON RAAF,2009-03-26,4.1,0.0,,24.9,12.7,97,42,4.97,17.01
LAVERTON RAAF,2009-03-27,,0.0,,19.4,8.7,89,48,3.57,
LAVERTON RAAF,2009-03-28,,0.0,,24.1,8.9,90,27,2.60,
LAVERTON RAAF,2009-03-29,,0.0,,24.5,6.5,94,33,3.54,
LAVERTON RAAF,2009-03-30,3.4,0.0,,22.0,11.7,94,53,3.81,20.52
LAVERTON RAAF,2009-03-31,4.3,0.0,,27.3,11.4,98,36,3.22,20.63
LAVERTON RAAF,2009-04-01,4.1,0.0,,27.3,11.9,97,37,2.80,20.75
LAVERTON RAAF,2009-04-02,5.6,0.0,,32.8,13.3,89,27,3.70,19.62
LAVERTON RAAF,2009-04-03,2.9,0.0,,19.8,18.2,93,46,5.00,9.03
LAVERTON RAAF,2009-04-04,2.8,5.6,,18.2,8.5,90,49,3.97,14.22
LAVERTON RAAF,2009-04-05,3.3,0.0,,20.4,9.7,88,53,6.16,14.34
LAVERTON RAAF,2009-04-06,2.9,0.0,,17.5,6.6,91,48,5.63,13.93
LAVERTON RAAF,2009-04-07,2.4,0.2,,18.3,9.6,94,63,4.61,14.94
LAVERTON RAAF,2009-04-08,2.3,0.2,,18.6,11.4,94,61,3.42,14.27
LAVERTON RAAF,2009-04-09,2.9,0.0,,20.9,12.9,94,57,2.87,18.99
LAVERTON RAAF,2009-04-10,2.4,1.0,,19.3,11.8,94,66,3.10,16.11
LAVERTON RAAF,2009-04-11,2.1,0.0,,21.0,11.3,95,64,2.14,13.34
LAVERTON RAAF,2009-04-12,2.8,0.0,,20.9,7.6,99,50,2.82,18.79
LAVERTON RAAF,2009-04-13,3.4,0.0,,23.7,5.6,97,32,2.59,18.75
LAVERTON RAAF,2009-04-14,5.8,0.0,,29.3,8.0,90,15,4.67,18.09
LAVERTON RAAF,2009-04-15,3.3,2.2,,16.4,11.6,92,43,8.45,13.55
LAVERTON RAAF,2009-04-16,4.0,0.0,,20.8,4.1,87,38,6.68,16.01
LAVERTON RAAF,2009-04-17,2.8,0.2,,22.3,11.0,86,48,3.11,14.69
LAVERTON RAAF,2009-04-18,2.2,0.0,,18.9,10.1,93,59,3.38,12.38
LAVERTON RAAF,2009-04-19,1.9,1.0,,17.3,13.8,96,64,3.52,11.38
LAVERTON RAAF,2009-04-20,2.7,0.0,,20.5,5.6,99,37,2.46,17.24
LAVERTON RAAF,2009-04-21,3.3,0.0,,22.9,6.6,93,37,3.26,17.29
LAVERTON RAAF,2009-04-22,3.7,0.0,,25.2,6.1,89,28,3.07,17.14
LAVERTON RAAF,2009-04-23,4.4,0.0,,23.8,11.1,68,36,5.66,14.85
LAVERTON RAAF,2009-04-24,2.9,0.0,,18.1,16.1,90,42,6.54,5.91
LAVERTON RAAF,2009-04-25,3.0,3.2,,19.5,10.7,89,51,6.75,12.38
LAVERTON RAAF,2009-04-26,3.1,5.8,,14.7,8.2,80,52,10.75,12.95
LAVERTON RAAF,2009-04-27,2.1,1.8,,15.1,6.1,93,51,4.59,11.64
LAVERTON RAAF,2009-04-28,1.8,3.4,,13.5,6.0,94,60,4.69,13.45
LAVERTON RAAF,2009-04-29,1.6,2.0,,12.9,5.7,91,52,2.64,12.38
LAVERTON RAAF,2009-04-30,2.1,0.0,,16.1,0.3,95,44,2.90,15.92
LAVERTON RAAF,2009-05-01,1.8,0.2,,14.5,7.2,92,51,3.58,9.35
LAVERTON RAAF,2009-05-02,1.8,0.0,,16.7,4.4,95,56,2.66,15.01
LAVERTON RAAF,2009-05-03,1.6,0.0,,17.7,3.5,97,63,2.53,13.50
LAVERTON RAAF,2009-05-04,1.5,0.0,,16.5,7.6,95,70,3.63,11.17
LAVERTON RAAF,2009-05-05,1.6,0.0,,15.2,6.9,92,61,2.13,14.86
LAVERTON RAAF,2009-05-06,1.5,0.0,,16.5,7.7,92,57,2.15,11.82
LAVERTON RAAF,2009-05-07,2.0,0.0,,17.0,9.6,93,62,5.21,12.21
LAVERTON RAAF,2009-05-08,1.4,0.6,,15.5,10.9,99,69,3.75,9.34
LAVERTON RAAF,2009-05-09,1.4,2.0,,16.2,12.1,99,71,3.62,10.65
LAVERTON RAAF,2009-05-10,1.5,0.0,,16.7,10.6,94,63,2.67,13.03
LAVERTON RAAF,2009-05-11,1.3,0.2,,15.9,6.0,99,71,2.49,13.65
LAVERTON RAAF,2009-05-12,1.3,0.0,,15.8,7.6,99,62,2.01,11.79
LAVERTON RAAF,2009-05-13,2.2,0.0,,17.9,7.1,90,52,4.75,10.22
LAVERTON RAAF,2009-05-14,2.5,0.2,,17.7,10.1,86,58,7.54,9.23
LAVERTON RAAF,2009-05-15,3.2,0.0,,21.0,13.6,81,56,9.01,6.20
LAVERTON RAAF,2009-05-16,2.7,0.2,,15.8,10.9,87,47,7.68,9.37
LAVERTON RAAF,2009-05-17,1.7,0.0,,18.0,8.2,93,59,3.57,10.78
LAVERTON RAAF,2009-05-18,1.4,0.0,,15.7,7.5,96,60,2.53,12.97
LAVERTON RAAF,2009-05-19,1.4,0.2,,17.1,5.2,99,60,2.55,11.80
LAVERTON RAAF,2009-05-20,1.6,0.0,,19.5,5.4,95,50,2.14,12.40
LAVERTON RAAF,2009-05-21,0.9,0.2,,15.1,7.1,99,77,2.11,10.48
LAVERTON RAAF,2009-05-22,1.3,0.0,,17.1,1.9,99,62,2.07,12.50
LAVERTON RAAF,2009-05-23,1.5,0.0,,18.9,5.1,94,55,2.37,10.17
LAVERTON RAAF,2009-05-24,3.2,0.0,,20.6,10.1,69,46,5.91,6.55
LAVERTON RAAF,2009-05-25,3.1,0.0,,21.8,16.5,93,45,7.14,6.72
LAVERTON RAAF,2009-05-26,1.8,4.8,,17.8,9.5,93,48,3.52,11.47
LAVERTON RAAF,2009-05-27,1.2,0.0,,15.2,4.6,97,70,3.73,9.66
LAVERTON RAAF,2009-05-28,1.4,0.2,,14.9,8.3,96,61,3.82,9.51
LAVERTON RAAF,2009-05-29,1.4,1.0,,15.0,4.0,99,57,3.75,11.81
LAVERTON RAAF,2009-05-30,1.3,0.0,,15.3,5.5,96,70,4.98,11.05
LAVERTON RAAF,2009-05-31,0.7,0.0,,13.0,2.9,99,81,2.33,10.25
LAVERTON RAAF,2009-06-01,0.9,0.0,,15.2,6.0,99,66,1.61,6.81
LAVERTON RAAF,2009-06-02,0.8,0.4,,14.5,8.4,99,73,1.87,7.87
LAVERTON RAAF,2009-06-03,0.7,1.6,,15.4,10.1,99,82,1.53,6.05
LAVERTON RAAF,2009-06-04,1.5,0.8,,18.0,11.1,96,57,3.25,9.54
LAVERTON RAAF,2009-06-05,1.0,0.6,,15.9,4.8,97,64,2.32,10.75
LAVERTON RAAF,2009-06-06,0.8,0.0,,13.4,2.1,99,75,2.71,8.29
LAVERTON RAAF,2009-06-07,1.2,0.0,,14.7,5.9,95,61,3.40,8.50
LAVERTON RAAF,2009-06-08,1.8,0.0,,15.5,8.4,89,55,5.33,7.89
LAVERTON RAAF,2009-06-09,1.7,1.6,,13.0,4.9,89,59,7.09,8.12
LAVERTON RAAF,2009-06-10,1.1,6.2,,11.4,4.8,91,76,6.50,9.89
LAVERTON RAAF,2009-06-11,1.1,3.4,,12.6,2.9,94,63,3.80,9.47
LAVERTON RAAF,2009-06-12,1.5,0.0,,12.3,2.1,90,56,5.40,10.69
LAVERTON RAAF,2009-06-13,1.9,0.0,,13.3,6.1,79,60,6.84,6.79
LAVERTON RAAF,2009-06-14,1.4,0.0,,14.9,8.3,94,54,3.39,8.41
LAVERTON RAAF,2009-06-15,0.9,0.0,,14.2,1.1,98,71,2.76,10.73
LAVERTON RAAF,2009-06-16,0.7,0.2,,13.3,2.8,99,69,1.91,9.94
LAVERTON RAAF,2009-06-17,0.5,0.2,,10.9,4.0,99,81,1.48,7.50
LAVERTON RAAF,2009-06-18,1.0,0.0,,15.8,1.3,99,58,2.01,10.81
LAVERTON RAAF,2009-06-19,1.6,0.0,,17.1,1.3,97,51,3.38,10.73
LAVERTON RAAF,2009-06-20,1.5,0.2,,13.7,5.1,89,60,5.35,6.19
LAVERTON RAAF,2009-06-21,1.1,0.0,,15.9,10.6,95,71,3.49,7.32
LAVERTON RAAF,2009-06-22,1.6,1.4,,18.1,8.5,98,52,3.77,10.66
LAVERTON RAAF,2009-06-23,1.3,0.0,,15.7,8.9,93,65,4.29,6.32
LAVERTON RAAF,2009-06-24,1.1,2.0,,16.7,6.0,99,55,2.26,10.36
LAVERTON RAAF,2009-06-25,1.4,0.0,,16.5,2.8,96,51,2.95,9.85
LAVERTON RAAF,2009-06-26,1.2,0.2,,16.4,5.7,93,61,3.08,10.07
LAVERTON RAAF,2009-06-27,0.8,0.0,,14.1,5.5,99,67,1.92,10.20
LAVERTON RAAF,2009-06-28,1.7,0.0,,16.6,1.7,99,47,3.90,9.82
LAVERTON RAAF,2009-06-29,2.3,0.0,,18.3,5.6,84,55,6.46,10.52
LAVERTON RAAF,2009-06-30,3.1,0.0,,19.8,13.3,85,51,9.38,9.38
LAVERTON RAAF,2009-07-01,2.6,2.4,,15.6,10.1,79,53,8.38,9.81
LAVERTON RAAF,2009-07-02,1.8,0.4,,13.8,8.8,87,61,7.39,7.14
LAVERTON RAAF,2009-07-03,1.6,2.4,,13.5,7.2,88,65,7.32,9.62
LAVERTON RAAF,2009-07-04,1.6,0.0,,15.7,7.2,95,65,7.25,8.87
LAVERTON RAAF,2009-07-05,1.1,0.6,,12.3,7.9,93,69,4.59,7.67
LAVERTON RAAF,2009-07-06,,0.0,,13.4,3.5,96,67,4.80,
LAVERTON RAAF,2009-07-07,,0.2,,12.3,2.5,91,57,2.81,
LAVERTON RAAF,2009-07-08,,0.0,,15.3,-2.1,95,46,3.20,
LAVERTON RAAF,2009-07-09,1.6,0.0,,16.0,0.7,94,49,3.38,11.19
LAVERTON RAAF,2009-07-10,1.6,0.0,,14.1,1.9,92,61,5.85,7.31
LAVERTON RAAF,2009-07-11,1.8,3.8,,13.1,10.7,86,68,9.23,4.92
LAVERTON RAAF,2009-07-12,2.2,0.4,,17.3,9.6,87,52,5.66,10.26
LAVERTON RAAF,2009-07-13,1.9,0.0,,16.4,5.7,90,51,4.84,9.18
LAVERTON RAAF,2009-07-14,1.2,3.4,,13.6,4.0,93,58,2.83,8.62
LAVERTON RAAF,2009-07-15,1.1,0.0,,14.3,5.8,92,56,2.09,9.73
LAVERTON RAAF,2009-07-16,1.1,0.0,,13.4,4.2,94,62,2.73,11.30
LAVERTON RAAF,2009-07-17,1.1,0.0,,13.9,1.7,97,59,2.40,10.81
LAVERTON RAAF,2009-07-18,2.0,0.0,,14.2,4.8,88,54,6.96,10.63
LAVERTON RAAF,2009-07-19,2.3,0.0,,16.8,7.5,81,58,6.93,11.29
LAVERTON RAAF,2009-07-20,4.1,0.0,,19.6,10.1,71,33,8.07,11.43
LAVERTON RAAF,2009-07-21,4.1,0.0,,19.2,10.9,58,35,7.34,10.28
LAVERTON RAAF,2009-07-22,2.5,0.0,,17.0,10.3,94,46,7.25,7.16
LAVERTON RAAF,2009-07-23,1.4,10.0,,12.9,5.7,95,59,4.35,10.60
LAVERTON RAAF,2009-07-24,1.8,0.6,,14.1,1.7,95,48,4.28,11.24
LAVERTON RAAF,2009-07-25,2.6,0.2,,15.1,6.2,74,41,5.65,10.15
LAVERTON RAAF,2009-07-26,2.5,0.0,,16.7,5.7,78,38,4.41,10.75
LAVERTON RAAF,2009-07-27,2.2,0.0,,15.9,6.5,86,56,6.21,11.05
LAVERTON RAAF,2009-07-28,2.0,0.2,,16.0,6.5,89,56,5.08,11.01
LAVERTON RAAF,2009-07-29,1.9,0.0,,17.0,8.9,94,56,4.84,9.74
LAVERTON RAAF,2009-07-30,1.9,0.0,,17.0,6.6,95,55,4.51,9.30
LAVERTON RAAF,2009-07-31,1.9,5.2,,15.0,6.5,94,56,5.71,10.87
LAVERTON RAAF,2009-08-01,2.2,0.0,,16.8,8.8,86,57,5.45,9.56
LAVERTON RAAF,2009-08-02,2.5,0.6,,17.4,9.3,91,51,6.26,11.20
LAVERTON RAAF,2009-08-03,2.5,1.4,,14.7,6.9,90,44,6.57,13.36
LAVERTON RAAF,2009-08-04,2.1,0.0,,16.9,5.9,92,55,4.98,9.80
LAVERTON RAAF,2009-08-05,2.1,1.4,,16.8,6.1,91,51,4.21,11.19
LAVERTON RAAF,2009-08-06,3.6,0.0,,18.7,9.7,81,43,8.85,7.88
LAVERTON RAAF,2009-08-07,2.9,0.4,,13.7,9.9,87,37,8.09,11.99
LAVERTON RAAF,2009-08-08,2.7,0.2,,16.5,2.1,85,31,4.25,13.86
LAVERTON RAAF,2009-08-09,2.9,0.0,,15.8,5.7,72,34,4.79,12.33
LAVERTON RAAF,2009-08-10,1.6,0.2,,12.8,7.9,88,57,3.60,8.03
LAVERTON RAAF,2009-08-11,1.3,1.0,,14.9,8.5,99,68,2.75,8.21
LAVERTON RAAF,2009-08-12,1.1,4.4,,14.3,4.0,99,79,3.05,9.76
LAVERTON RAAF,2009-08-13,2.0,0.0,,17.9,5.4,99,52,3.53,12.54
LAVERTON RAAF,2009-08-14,2.4,0.4,,18.9,6.6,95,45,3.68,14.24
LAVERTON RAAF,2009-08-15,3.6,0.0,,20.0,10.0,85,46,8.48,10.87
LAVERTON RAAF,2009-08-16,3.4,0.4,,17.3,12.0,90,43,9.92,9.14
LAVERTON RAAF,2009-08-17,3.6,2.8,,16.2,8.0,74,34,7.20,14.76
LAVERTON RAAF,2009-08-18,2.4,0.0,,17.6,6.6,85,50,3.98,12.82
LAVERTON RAAF,2009-08-19,3.9,0.0,,19.9,8.7,81,34,6.64,15.12
LAVERTON RAAF,2009-08-20,2.5,5.0,,18.9,10.5,91,53,4.59,12.08
LAVERTON RAAF,2009-08-21,4.0,0.8,,18.5,10.5,80,42,10.27,10.77
LAVERTON RAAF,2009-08-22,3.3,0.4,,16.6,4.8,80,39,6.30,14.72
LAVERTON RAAF,2009-08-23,3.3,0.0,,19.1,8.3,86,48,6.78,14.26
LAVERTON RAAF,2009-08-24,4.1,0.6,,18.5,9.6,88,35,9.42,12.91
LAVERTON RAAF,2009-08-25,3.0,3.6,,15.1,5.0,88,50,10.38,14.04
LAVERTON RAAF,2009-08-26,3.3,3.8,,16.5,5.6,77,45,7.74,10.95
LAVERTON RAAF,2009-08-27,3.6,0.0,,18.3,8.2,79,44,7.02,15.24
LAVERTON RAAF,2009-08-28,3.6,0.0,,20.9,8.0,86,41,5.53,15.23
LAVERTON RAAF,2009-08-29,2.4,0.4,,15.3,11.7,92,55,7.01,9.15
LAVERTON RAAF,2009-08-30,3.1,3.4,,15.9,5.5,81,48,7.62,13.58
LAVERTON RAAF,2009-08-31,2.9,0.0,,16.9,8.8,87,53,7.34,11.99
LAVERTON RAAF,2009-09-01,2.7,1.2,,15.9,5.0,84,41,4.03,13.75
LAVERTON RAAF,2009-09-02,3.9,0.2,,19.2,7.7,74,40,5.93,17.72
LAVERTON RAAF,2009-09-03,5.2,0.0,,22.7,12.1,70,34,7.83,14.82
LAVERTON RAAF,2009-09-04,3.1,0.2,,17.4,6.3,89,43,6.00,13.60
LAVERTON RAAF,2009-09-05,3.4,1.2,,17.8,4.3,89,39,5.97,16.42
LAVERTON RAAF,2009-09-06,2.9,0.0,,16.7,5.6,90,46,6.26,10.71
LAVERTON RAAF,2009-09-07,2.0,1.0,,15.5,5.4,95,55,3.00,12.20
LAVERTON RAAF,2009-09-08,2.3,4.4,,16.1,7.1,98,65,7.44,14.79
LAVERTON RAAF,2009-09-09,2.5,1.4,,14.2,8.7,92,55,7.21,12.65
LAVERTON RAAF,2009-09-10,2.5,0.0,,14.6,9.4,80,54,3.85,13.45
LAVERTON RAAF,2009-09-11,5.3,0.0,,22.1,5.6,85,31,9.16,16.00
LAVERTON RAAF,2009-09-12,9.2,0.0,,31.2,13.9,46,12,7.98,15.61
LAVERTON RAAF,2009-09-13,4.2,0.0,,21.0,15.0,79,35,6.61,10.23
LAVERTON RAAF,2009-09-14,2.9,0.2,,16.5,3.5,87,40,3.34,17.57
LAVERTON RAAF,2009-09-15,3.6,0.0,,20.2,3.0,86,30,3.00,20.88
LAVERTON RAAF,2009-09-16,5.0,0.0,,24.5,3.9,80,23,4.62,18.36
LAVERTON RAAF,2009-09-17,3.0,0.0,,18.9,16.2,99,39,6.28,6.23
LAVERTON RAAF,2009-09-18,2.9,10.6,,17.3,6.3,93,53,2.95,20.55
LAVERTON RAAF,2009-09-19,3.9,0.0,,20.9,6.6,93,40,6.26,14.02
LAVERTON RAAF,2009-09-20,3.5,2.0,,18.6,7.1,94,37,4.28,19.42
LAVERTON RAAF,2009-09-21,2.9,0.0,,17.1,6.8,97,51,3.70,19.24
LAVERTON RAAF,2009-09-22,3.0,23.2,,19.8,9.6,98,55,4.22,17.18
LAVERTON RAAF,2009-09-23,3.8,0.0,,18.8,10.6,89,50,8.10,17.83
LAVERTON RAAF,2009-09-24,4.0,0.8,,20.4,9.4,83,40,6.14,14.09
LAVERTON RAAF,2009-09-25,2.8,0.2,,17.6,12.2,92,57,6.10,11.87
LAVERTON RAAF,2009-09-26,2.9,7.2,,14.4,7.5,93,54,8.31,15.48
LAVERTON RAAF,2009-09-27,3.0,4.2,,12.6,6.9,79,59,11.88,15.75
LAVERTON RAAF,2009-09-28,2.4,0.6,,14.5,8.4,95,60,6.80,13.39
LAVERTON RAAF,2009-09-29,3.6,0.2,,18.8,7.9,82,45,3.25,22.53
LAVERTON RAAF,2009-09-30,6.8,0.0,,24.3,11.7,65,25,8.72,18.96
LAVERTON RAAF,2009-10-01,2.5,0.0,,15.1,12.2,92,58,2.99,14.67
LAVERTON RAAF,2009-10-02,2.5,0.2,,14.3,7.3,95,54,4.82,14.10
LAVERTON RAAF,2009-10-03,3.8,0.0,,17.3,10.6,80,48,5.58,20.05
LAVERTON RAAF,2009-10-04,3.0,0.0,,17.7,6.2,94,55,3.25,19.40
LAVERTON RAAF,2009-10-05,2.7,0.0,,16.1,6.4,94,59,4.44,16.24
LAVERTON RAAF,2009-10-06,2.7,1.2,,13.2,7.8,95,59,5.77,19.47
LAVERTON RAAF,2009-10-07,3.2,8.6,,14.5,6.0,94,50,5.23,23.20
LAVERTON RAAF,2009-10-08,3.6,0.2,,15.3,5.2,87,48,5.50,25.17
LAVERTON RAAF,2009-10-09,3.8,0.0,,16.4,8.3,82,50,6.13,22.98
LAVERTON RAAF,2009-10-10,3.6,0.0,,17.7,2.2,94,45,3.42,25.85
LAVERTON RAAF,2009-10-11,4.3,0.0,,21.2,4.0,91,32,3.90,22.21
LAVERTON RAAF,2009-10-12,5.1,3.0,,23.0,11.6,85,39,7.88,16.93
LAVERTON RAAF,2009-10-13,4.8,2.0,,19.7,7.7,86,34,7.87,17.98
LAVERTON RAAF,2009-10-14,3.2,1.4,,16.8,7.0,94,53,8.84,14.32
LAVERTON RAAF,2009-10-15,3.0,0.8,,15.6,10.1,89,59,7.36,16.18
LAVERTON RAAF,2009-10-16,3.3,1.2,,17.7,5.1,93,58,5.85,21.28
LAVERTON RAAF,2009-10-17,2.7,0.0,,15.3,8.4,90,62,4.83,16.43
LAVERTON RAAF,2009-10-18,3.1,0.0,,17.6,3.2,94,49,3.70,18.41
LAVERTON RAAF,2009-10-19,4.0,0.0,,20.6,10.2,85,54,2.55,25.69
LAVERTON RAAF,2009-10-20,7.5,0.0,,30.3,10.3,86,15,5.77,19.64
LAVERTON RAAF,2009-10-21,3.8,0.0,,17.7,11.9,90,46,4.12,22.15
LAVERTON RAAF,2009-10-22,4.0,0.0,,18.4,4.7,94,54,4.14,28.43
